Feature,Importance
"categorical__Main Cause_severe(ganga , yamuna, ken shandrawal, rapti, sarju, gadri,ghagra )",3.6598942476946592e-06
"categorical__State_Uttar Pradesh, Bihar",3.6204672204716872e-06
"categorical__Main Cause_heavy rains, floods",3.0098314138957715e-06
categorical__Main Cause_cloud burst & flash floods,2.9709142729442383e-06
"categorical__State_Odisha, Bihar, Assam, West Bengal",2.5098820849802824e-06
categorical__State_Chandigarh,2.4743464329029588e-06
"categorical__State_Jammu and Kashmir, Punjab, Uttar Pradesh, Assam,  Arunachal Pradesh",2.3301431587930808e-06
"categorical__Main Cause_flood (gandaki,kosi)",2.1532311056840795e-06
categorical__State_Dadar&Nagar Haveli,2.015978548920018e-06
categorical__Main Cause_heavy rains & floods (siwani river),1.2281535351372228e-06
categorical__Main Cause_heavy rains & floods     (kaljani river),1.1011463303494276e-06
numeric__Event_Source_Available,0.0
